from,to,distance
(1458/6075),(1781/7425),28
(1662/5875),(1458/6075),5
(1662/5875),(2073/7525),34
(1859/5725),(1662/5875),4
(1859/5725),(2324/7625),39
(2073/7525),(1781/7425),6
(2076/5575),(1859/5725),5
(2076/5575),(2567/7675),43
(2288/5425),(2076/5575),5
(2288/5425),(2813/7725),47
(2324/7625),(2073/7525),5
(2492/5275),(2288/5425),5
(2492/5275),(3050/7725),50
(2567/7675),(2324/7625),4
(2675/5125),(2492/5275),4
(2675/5125),(3309/7825),55
(2813/7725),(2567/7675),5
(2877/4925),(2675/5125),5
(2877/4925),(3540/7925),61
(3050/7725),(2813/7725),4
(3119/4775),(2877/4925),5
(3119/4775),(3791/7975),65
(3309/7825),(3050/7725),5
(3319/4625),(3119/4775),5
(3319/4625),(4044/8025),69
(3513/4475),(3319/4625),4
(3513/4475),(4321/8125),74
(3540/7925),(3309/7825),5
(3701/4275),(3513/4475),5
(3701/4275),(4567/8175),79
(3791/7975),(3540/7925),5
(3910/4125),(3701/4275),5
(3910/4125),(5864/12925),177
(4044/8025),(3791/7975),5
(4210/3875),(3910/4125),7
(4210/3875),(4210/3875),0
(4210/3875),(6079/12825),181
(4321/8125),(4044/8025),5
(4340/3775),(4210/3875),3
(4340/3775),(6297/12725),180
(4528/3625),(4340/3775),4
(4528/3625),(6508/12625),181
(4567/8175),(4321/8125),5
(4567/8175),(4962/9825),34
(4725/9825),(5398/13075),66
(4759/3475),(4528/3625),5
(4759/3475),(6697/12575),183
(4962/9825),(4725/9825),4
(4962/9825),(5637/13025),65
(4966/3275),(4996/3425),4
(4996/3425),(6909/12475),182
(5168/3125),(7126/12375),186
(5379/2975),(5168/3125),5
(5379/2975),(7314/12275),187
(5591/2825),(5379/2975),5
(5591/2825),(7524/12175),188
(5637/13025),(5398/13075),4
(5797/2675),(5591/2825),5
(5797/2675),(7751/12075),189
(5864/12925),(5637/13025),4
(6024/2475),(5797/2675),6
(6024/2475),(7954/11975),191
(6079/12825),(5864/12925),4
(6233/2375),(6024/2475),4
(6233/2375),(8146/11875),191
(6297/12725),(6079/12825),4
(6460/2275),(6233/2375),4
(6460/2275),(8352/11775),191
(6508/12625),(6297/12725),4
(6667/2175),(6460/2275),4
(6667/2175),(8599/11675),191
(6697/12575),(6508/12625),3
(6909/2075),(6667/2175),5
(6909/2075),(8831/11575),191
(6909/12475),(6697/12575),4
(7126/12375),(6909/12475),4
(7138/1925),(6909/2075),5
(7138/1925),(9022/11475),192
(7314/12275),(7126/12375),4
(7360/1825),(7138/1925),4
(7360/1825),(9250/11375),192
(7524/12175),(7314/12275),4
(7588/1725),(7360/1825),4
(7588/1725),(9476/11275),192
(7751/12075),(7524/12175),4
(7769/1625),(7588/1725),4
(7769/1625),(9702/11175),192
(7954/11975),(7751/12075),4
(8008/1675),(7769/1625),4
(8008/1675),(9941/11075),189
(8146/11875),(7954/11975),4
(8261/1725),(8008/1675),5
(8261/1725),(10171/10925),185
(8352/11775),(8146/11875),4
(8528/1775),(8261/1725),5
(8528/1775),(10393/10825),182
(8599/11675),(8352/11775),5
(8765/1825),(8528/1775),4
(8765/1825),(10592/10725),179
(8831/11575),(8599/11675),5
(9008/1925),(8765/1825),5
(9008/1925),(10833/10625),175
(9022/11475),(8831/11575),4
(9250/11375),(9022/11475),4
(9252/1975),(9008/1925),4
(9252/1975),(11060/10525),172
(9476/11275),(9250/11375),4
(9496/1975),(9252/1975),4
(9496/1975),(11309/10425),170
(9702/11175),(9476/11275),4
(9740/1975),(9496/1975),4
(9740/1975),(11547/10325),168
(9941/11075),(9702/11175),5
(9984/1975),(9740/1975),4
(9984/1975),(11764/10225),166
(10171/10925),(9941/11075),5
(10225/1925),(9984/1975),4
(10225/1925),(11959/10125),165
(10393/10825),(10171/10925),4
(10477/1925),(10225/1925),5
(10477/1925),(12176/10025),163
(10592/10725),(10393/10825),4
(10725/1925),(10477/1925),4
(10725/1925),(12410/9925),161
(10833/10625),(10592/10725),5
(10969/1975),(10725/1925),4
(10969/1975),(12635/9825),158
(11060/10525),(10833/10625),4
(11199/2025),(10969/1975),4
(11199/2025),(12870/9725),155
(11309/10425),(11060/10525),5
(11448/2125),(11199/2025),5
(11448/2125),(13082/9625),151
(11547/10325),(11309/10425),5
(11692/2175),(11448/2125),4
(11692/2175),(13296/9525),148
(11764/10225),(11547/10325),4
(11959/10125),(11764/10225),4
(11968/2325),(11692/2175),6
(11968/2325),(13534/9425),143
(12176/10025),(11959/10125),4
(12318/2625),(11968/2325),9
(12318/2625),(13737/9275),134
(12410/9925),(12176/10025),5
(12608/2875),(12318/2625),7
(12608/2875),(13955/9225),128
(12635/9825),(12410/9925),4
(12870/9725),(12635/9825),5
(12883/2975),(12608/2875),5
(12883/2975),(14151/9125),124
(13082/9625),(12870/9725),4
(13131/3025),(12883/2975),5
(13131/3025),(13955/6975),80
(13296/9525),(13082/9625),4
(13393/3125),(13131/3025),5
(13393/3125),(14190/6925),77
(13534/9425),(13296/9525),5
(13636/3175),(13393/3125),4
(13636/3175),(14363/6625),70
(13737/9275),(13534/9425),5
(13955/6975),(14394/9025),42
(13955/9225),(13737/9275),4
(14151/9125),(13955/9225),4
(14190/6925),(13955/6975),4
(14363/6625),(14190/6925),6
(14394/9025),(14151/9125),5
