from,to,distance
(1665/5203),(2023/6803),33
(1851/5053),(1665/5203),4
(1851/5053),(2293/6903),38
(2055/4903),(1851/5053),5
(2055/4903),(2543/6953),42
(2262/4753),(2055/4903),5
(2262/4753),(2787/6953),45
(2293/6903),(2023/6803),5
(2458/4603),(2262/4753),4
(2458/4603),(3026/6953),48
(2543/6953),(2293/6903),5
(2671/4403),(2458/4603),5
(2671/4403),(3293/7103),55
(2787/6953),(2543/6953),4
(2870/4253),(2671/4403),4
(2870/4253),(3548/7153),59
(3026/6953),(2787/6953),4
(3083/4103),(2870/4253),5
(3083/4103),(3806/7253),64
(3293/7103),(3026/6953),6
(3314/3903),(3083/4103),6
(3314/3903),(4057/7303),69
(3498/3753),(3314/3903),4
(3498/3753),(4331/7353),73
(3548/7153),(3293/7103),5
(3711/3603),(3498/3753),5
(3711/3603),(4601/7353),76
(3806/7253),(3548/7153),5
(3923/3453),(3711/3603),5
(3923/3453),(5918/12303),178
(4057/7303),(3806/7253),5
(4137/3253),(3923/3453),5
(4137/3253),(6133/12203),180
(4331/7353),(4057/7303),5
(4359/3103),(4137/3253),5
(4359/3103),(6356/12103),181
(4589/2953),(4359/3103),5
(4589/2953),(6564/12003),182
(4601/7353),(4331/7353),5
(4601/7353),(5046/9203),38
(4779/2753),(4589/2953),5
(4779/2753),(6769/11903),184
(4815/9253),(5441/12403),64
(5012/2603),(4779/2753),5
(5012/2603),(6982/11803),185
(5046/9203),(4815/9253),4
(5046/9203),(5689/12403),65
(5202/2453),(5012/2603),4
(5202/2453),(7210/11703),186
(5422/2253),(5202/2453),5
(5422/2253),(7426/11653),189
(5645/2103),(5422/2253),5
(5645/2103),(7627/11553),190
(5864/1903),(5645/2103),5
(5864/1903),(7858/11453),192
(5918/12303),(5689/12403),4
(6076/1753),(5864/1903),5
(6076/1753),(8074/11353),193
(6133/12203),(5918/12303),4
(6301/1603),(6076/1753),5
(6301/1603),(8271/11253),194
(6356/12103),(6133/12203),4
(6518/1503),(6301/1603),4
(6518/1503),(8498/11153),194
(6564/12003),(6356/12103),4
(6691/1403),(6518/1503),3
(6691/1403),(8729/11053),194
(6769/11903),(6564/12003),4
(6936/1303),(6691/1403),5
(6936/1303),(8964/10953),194
(6982/11803),(6769/11903),4
(7205/1153),(6936/1303),6
(7205/1153),(9185/10853),195
(7210/11703),(6982/11803),4
(7411/1053),(7205/1153),4
(7411/1053),(9411/10753),195
(7426/11653),(7210/11703),4
(7627/11553),(7426/11653),4
(7647/903),(7411/1053),5
(7647/903),(9638/10653),196
(7857/803),(7647/903),4
(7857/803),(9857/10553),196
(7858/11453),(7627/11553),5
(8074/11353),(7858/11453),4
(8094/753),(7857/803),4
(8094/753),(10105/10453),195
(8271/11253),(8074/11353),4
(8347/803),(8094/753),5
(8347/803),(10373/10303),191
(8498/11153),(8271/11253),4
(8607/853),(8347/803),5
(8607/853),(10623/10203),188
(8729/11053),(8498/11153),5
(8854/903),(8607/853),5
(8854/903),(10827/10103),185
(8964/10953),(8729/11053),5
(9104/953),(8854/903),5
(9104/953),(11065/10003),182
(9185/10853),(8964/10953),4
(9364/1003),(9104/953),5
(9364/1003),(11312/9903),179
(9411/10753),(9185/10853),4
(9638/10653),(9411/10753),4
(9736/1153),(9364/1003),8
(9736/1153),(11518/9803),174
(9857/10553),(9638/10653),4
(10086/1353),(9736/1153),8
(10086/1353),(11747/9703),168
(10105/10453),(9857/10553),5
(10346/1353),(10086/1353),5
(10346/1353),(11974/9603),166
(10373/10303),(10105/10453),6
(10586/1303),(10346/1353),4
(10586/1303),(12237/9503),165
(10623/10203),(10373/10303),5
(10827/10103),(10623/10203),4
(10832/1353),(10586/1303),5
(10832/1353),(12491/9403),162
(11065/10003),(10827/10103),5
(11079/1403),(10832/1353),5
(11079/1403),(12722/9253),158
(11312/9903),(11065/10003),5
(11332/1403),(11079/1403),5
(11332/1403),(12957/9153),156
(11518/9803),(11312/9903),4
(11605/1453),(11332/1403),5
(11605/1453),(13206/9053),153
(11747/9703),(11518/9803),4
(11855/1553),(11605/1453),5
(11855/1553),(13437/8953),149
(11974/9603),(11747/9703),4
(12141/1753),(11855/1553),6
(12141/1753),(13680/8853),143
(12237/9503),(11974/9603),5
(12453/2003),(12141/1753),7
(12453/2003),(13900/8753),136
(12491/9403),(12237/9503),5
(12721/2253),(12453/2003),7
(12721/2253),(14125/8653),129
(12722/9253),(12491/9403),5
(12957/9153),(12722/9253),5
(13041/2453),(12721/2253),7
(13041/2453),(14346/8553),123
(13206/9053),(12957/9153),5
(13347/2553),(13041/2453),6
(13347/2553),(14168/6353),77
(13437/8953),(13206/9053),5
(13680/8853),(13437/8953),5
(13900/8753),(13680/8853),4
(14125/8653),(13900/8753),4
(14168/6353),(14551/8453),43
(14346/8553),(14125/8653),4
(14551/8453),(14346/8553),4
